Country,Geographical,Income Group,Project name_WB,Project name_common,Sector,SubSector,Segment,Crossborder,Reason for delay,Investment Size,Project Banks,Delayed Extent,Updated Date,FC Year,FC Year reason,Status,Affected Stage,Type of PPP,URLs,Resumed,Resume URL,location,Latitude,Longitude
Indonesia,East Asia and Pacific,High income,Jakarta Bandung High-Speed Railway,N/A,Transport,Railways,Regional Passenger,No,travel limit and shipping disruption,,,,April,2017,https://www.thejakartapost.com/news/2017/01/20/wika-to-sign-contract-for-highspeed-railway-next-week.html,delayed,Delay in Construction,Greenfield,https://www.railway-technology.com/news/indonesia-high-speed-railway-project-delayed/,Resumed,https://constructionreviewonline.com/2020/04/construction-of-jakarta-bandung-high-speed-railway-resumes/,City,-6.2088,106.8456
Zimbabwe,Sub-Saharan Africa,Low income,Hwange Thermal Power Station Expansion,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2018,https://www.esi-africa.com/industry-sectors/renewable-energy/zimbabwe-hwange-thermal-power-station-to-reach-financial-close/,delayed,Delay in Construction,Brownfield,https://www.theindependent.co.zw/2020/04/10/covid-19-derails-us14bn-worth-zim-china-projects/,Resumed,https://www.afrik21.africa/en/zimbabwe-solgas-energy-to-commission-its-solar-power-plant-in-hwange-in-august/,Exact Location,-18.382413,26.470805
Zimbabwe,Sub-Saharan Africa,Low income,Robert Mugabe International Airport expansion,N/A,Transport,Airports,Runway and terminal,No,travel limit and shipping disruption,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.theindependent.co.zw/2020/04/10/covid-19-derails-us14bn-worth-zim-china-projects/,Resumed,https://www.herald.co.zw/us153m-airport-expansion-on-course/,Exact Location,-17.918631,31.097258
Zimbabwe,Sub-Saharan Africa,Low income,NetOne expansion,N/A,ICT,ICT backbone,Other,No,travel limit and shipping disruption,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.theindependent.co.zw/2020/04/10/covid-19-derails-us14bn-worth-zim-china-projects/,N/A,N/A,City,-19.0154,29.1549
Pakistan,South Asia,Low income,Thar Block 2 power plant,Thar Engro Coal Power Project,Energy,Electricity,Electricity generation,Yes,travel limit and shipping disruption,,,,April,2019,https://mettisglobal.news/ppib-allows-extensions-in-financial-close-dates-of-2-thar-coal-power-projects,delayed,N/A,Greenfield,https://www.eco-business.com/news/the-shadow-of-the-coronavirus-on-pakistan/,N/A,N/A,Exact Location,24.775287,70.397565
Kenya,Sub-Saharan Africa,Upper middle income,Kisii-Ahero-Isebania road project,N/A,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.the-star.co.ke/business/kenya/2020-04-16-multi--billion-road-projects-take-a-hit-as-workers-stay-home/,N/A,N/A,City,-0.1744,34.9203
Kenya,Sub-Saharan Africa,Upper middle income,Sh160 billion 87km Nairobi-Mau Summit road,Nairobi-Makuru-Mau Summit Highway,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,April,expected 2021,https://www.khl.com/international-construction/billion-dollar-ppp-kenyan-highway-for-vinci/146328.article,delayed,N/A,Brownfield,https://www.the-star.co.ke/business/kenya/2020-04-16-multi--billion-road-projects-take-a-hit-as-workers-stay-home/,N/A,N/A,City,-1.0314,36.8681
Kenya,Sub-Saharan Africa,Upper middle income,Sh62 billion JKIA-Westlands Expressway,JKIA-Westlands Highway,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,April,N/A,,delayed,Delay in Construction,Brownfield,https://www.msn.com/en-xl/news/other/multi-billion-road-projects-take-a-hit-as-workers-stay-home/ar-BB12HJaK,N/A,N/A,Exact Location,-1.322828,36.925994
Indonesia,East Asia and Pacific,High income,Bangko Tengah PLTU (SS-8),Bangko Tengah (SS-8) Power Station / South Sumatra 8,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2014,https://www.gem.wiki/Bangko_Tengah_(SS-8)_power_station,delayed,Delay in Construction,Greenfield,https://industri.kontan.co.id/news/jadwal-operasional-pembangkit-terganggu-wabah-corona-ini-tanggapan-pln?page=all,N/A,N/A,Exact Location,-3.758138,103.792385
Indonesia,East Asia and Pacific,High income,Kalbar-1 PLTU,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2017,https://pontianak.tribunnews.com/2018/08/01/proyek-pltu-kalbar-1-baru-35-persen,delayed,Delay in Construction,Greenfield,https://ekonomi.bisnis.com/read/20200803/44/1274372/vid-covid-tujuh-proyek-pembangkit-listrik-berkapasitas-6.510-mw-bakal-molor-nih,N/A,N/A,Exact Location,0.816593,108.845997
Indonesia,East Asia and Pacific,High income,Nagan Raya PLTU,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,N/A,,delayed,Delay in Construction,Greenfield,https://www.cnnindonesia.com/ekonomi/20200326073609-85-486915/investasi-pltu-berpotensi-rugi-rp209-t-gara-gara-corona,N/A,N/A,Exact Location,4.107813,96.197848
Myanmar,East Asia and Pacific,Low income,350MW LNG power plant in Thanlyin in Yangon,Myanmar Thanlyin LNG-to-Power project,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,N/A,,delayed,N/A,Greenfield,https://frontiermyanmar.net/en/chinese-consortium-may-avoid-fines-despite-missing-emergency-power-deadline,Resumed,https://www.gastopowerjournal.com/markets/item/11078-lng-supply-to-chinese-built-power-plant-in-myanmar-now-in-full-swing,Exact Location,16.702414,96.33144
Myanmar,East Asia and Pacific,Low income,400-MW LNG power plant in Thaketa in Yangon,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,N/A,,delayed,N/A,Greenfield,https://frontiermyanmar.net/en/chinese-consortium-may-avoid-fines-despite-missing-emergency-power-deadline,Resumed,https://www.frontiermyanmar.net/en/delayed-lng-projects-set-to-deliver-first-power-as-govt-approves-contract/,Exact Location,16.816251,96.224847
Myanmar,East Asia and Pacific,Low income,150-MW LNG power plant in Kyaukphyu in Rakhine State,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,N/A,,delayed,N/A,Greenfield,https://frontiermyanmar.net/en/chinese-consortium-may-avoid-fines-despite-missing-emergency-power-deadline,Resumed,https://oglinks.news/myanmar/news/power-plants-delayed-covid-19-start-operating-coming-months,Exact Location,19.402601,93.500406
Lao PDR,East Asia and Pacific,Upper middle income,Laos-China Railway,N/A,Transport,Railways,Regional Passenger,Yes,travel limit and shipping disruption,,,,April,2019,World Bank DB,delayed,Delay in Construction,Greenfield,https://www.rfa.org/english/news/laos/lao-china-railway-04072020150320.html,Resumed,https://www.globaltimes.cn/content/1186717.shtml,City,19.8563,102.4955
Indonesia,East Asia and Pacific,High income,Cirebon 2,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2017,World Bank DB,delayed,Delay in Construction,Brownfield,https://www.thejakartapost.com/news/2020/03/27/coal-plant-project-delays-might-cost-developers-13-1-billion-report.html,N/A,N/A,Exact Location,-6.774621,108.631829
Mozambique,Sub-Saharan Africa,Low income,China's CNPC LNG project,Rovuma LNG Project,Energy,Electricity,Electricity generation,No,Transmission line delayed,,,,April,N/A,,delayed,Delay in financial investment decision,Greenfield,https://www.clbrief.com/chinas-cnpc-natural-gas-project-in-mozambique-delayed/,N/A,N/A,Exact Location,-11.150213,37.892078
Bangladesh,South Asia,High income,"1,250MW Payra coal-fired plant project in Patuakhali",Payra Power Station,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,February,2020,https://tbsnews.net/bangladesh/964m-financial-closure-payra-ports-capital-dredging-feb-39383,delayed,Delay in Commisioning,Greenfield,https://tbsnews.net/bangladesh/infrastructure/coronavirus-stalls-payra-plant-commissioning-42067,N/A,N/A,Exact Location,21.994118,90.304947
Nepal,South Asia,Low income,Pokhara Regional International Airport,N/A,Transport,Airports,Runway and terminal,No,Transmission line delayed,,,,February,N/A,,delayed,Delay in Construction,Greenfield,https://www.airport-technology.com/news/airport-construction-nepal-delay/,N/A,N/A,Exact Location,28.185209,84.014746
Bangladesh,South Asia,High income,Padma Multipurpose Bridge,N/A,Transport,Roads,Other,No,Transmission line delayed,,,,February,2012,https://projects.worldbank.org/en/projects-operations/project-detail/P111017?lang=en&tab=procurement,delayed,Delay in Construction,Greenfield,https://thefinancialexpress.com.bd/trade/coronavirus-outbreak-construction-of-padma-bridge-impeded-1583122117,Once Resumed but Delayed again,https://www.globaltimes.cn/content/1190037.shtml,Exact Location,23.436809,90.262858
Costa Rica,Latin America and the Caribbean,High income,San Carlos road,National Primary Route 35 of Costa Rica,Transport,Roads,Highway,No,travel limit and shipping disruption,,,,May,N/A,,delayed,Delay in Construction,Greenfield,https://www.worldhighways.com/wh8/news/costa-rica-construction-contracts,N/A,N/A,City,10.0159,-84.2142
Indonesia,East Asia and Pacific,High income,Java 7 PLTU,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2016,,delayed,Delay in Construction,Greenfield,https://ekonomi.bisnis.com/read/20200326/44/1218068/virus-corona-bikin-repot-eksekusi-proyek-pltu-us131-miliar-tertunda,N/A,N/A,Exact Location,-5.9916943,106.1008005
Indonesia,East Asia and Pacific,High income,Kalselteng-1,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2016,,delayed,Delay in Construction,Greenfield,https://ekonomi.bisnis.com/read/20200326/44/1218068/virus-corona-bikin-repot-eksekusi-proyek-pltu-us131-miliar-tertunda,N/A,N/A,Exact Location,-1.3715251,113.5613777
Indonesia,East Asia and Pacific,High income,Sulbagut 1 PLTU,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2018,,delayed,Delay in Construction,Greenfield,http://www.tobabara.com/en/news/proyek-pltu-toba-bara-sejahtra-toba-teken-financial-close-sulbagut-1/,N/A,N/A,Exact Location,0.9426981,122.9415754
Montenegro,Europe and Central Asia,Low income,Bar-Boljare(Belgrade) motorway (A-1 motorway),Belgrade-Bar railway,Transport,Roads,Highway,No,travel limit and shipping disruption,,,,May,2017,,delayed,Delay in Construction,Greenfield,https://balkaninsight.com/2020/09/30/montenegro-forced-to-extend-deadline-for-chinese-to-finish-highway/,Resumed,https://seenews.com/news/chinas-crbc-to-complete-bridge-construction-project-in-montenegro-by-end-2020-722393,Exact Location,42.971927,19.602034
Indonesia,East Asia and Pacific,High income,Sulbagut 3 PLTU,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,N/A,,delayed,Delay in Construction,Greenfield,https://industri.kontan.co.id/news/bangun-pltu-di-minahasa-toba-bara-toba-kantongi-pinjaman-bank-us-1579-juta,N/A,N/A,City,0.8687014,123.9643104
Afghanistan,South Asia,Low income,178 km road of Yakawlang road,Dar-i-Suf to Yakawlang (178 Km) Road,Transport,Roads,Highway,No,travel limit and shipping disruption,,,,June,2017,,delayed,Delay in Construction,Greenfield,http://www.afghanistantimes.af/construction-projects-stagnate-in-bamyan-amid-covid-19/,N/A,N/A,City,34.737826,66.858637
Kazakhstan,Europe and Central Asia,Upper middle income,50MW Kostanay Wind Farm,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,May,N/A,,delayed,Delay in Construction,Greenfield,https://www.ichongqing.info/2020/05/27/chinas-production-resumption-drives-belt-and-road-cooperation-fuels-global-growth/,Resumed,N/A,City,53.211126,63.599846
Ghana,Sub-Saharan Africa,High income,Pokuase Interchange,N/A,Transport,Roads,Highway,No,travel limit and shipping disruption,,,,July,2016,,delayed,Delay in Construction,Greenfield,https://www.modernghana.com/news/1015290/covid-19-delays-completion-of-pokuase-interchange.html,Resumed,https://www.ghanabusinessnews.com/2020/11/20/obetsebi-lamptey-pokuase-interchanges-will-open-from-november-25-minister/,Exact Location,5.688709,-0.275056
Sri Lanka,South Asia,Low income,Sri Lanka waste-to-energy power plant in Colombo,"KCHT Power Station
Colombo South Waste Processing Facility
Karadiyana W2E Project
Karadiyana Power Station",Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,June,2018,,delayed,Delay in Construction,Greenfield,https://economynext.com/sri-lanka-waste-to-energy-power-plant-delayed-by-covid-19-travel-curbs-70837/,N/A,N/A,City,6.933421,79.847276
India,South Asia,High income,Bangalore Metro Rail,Bangalore Metro Rail Phase II - Namma Metro to Anjanapura,Transport,Railways,Regional Passenger,No,travel limit and shipping disruption,,,,March,N/A,,delayed,Delay in Construction,Greenfield,https://www.thehindu.com/news/cities/bangalore/bmrcl-misses-deadline/article32975347.ece,Resumed,N/A,City,12.953985,77.59196
Indonesia,East Asia and Pacific,High income,Kuningan East Ring Road in West Java,N/A,Transport,Roads,Highway,No,Gov't Budget Reallocation / Regulatory Changes,,,,April,N/A,,delayed,Delay in financial investment decision,Greenfield,https://www.thejakartapost.com/news/2020/04/23/covid-19-crisis-delays-several-infrastructure-projects.html,N/A,N/A,City,-6.980115,108.486917
Indonesia,East Asia and Pacific,High income,Brebes Ring Road in Central Java,N/A,Transport,Roads,Highway,No,Gov't Budget Reallocation / Regulatory Changes,,,,April,N/A,,delayed,Delay in financial investment decision,Greenfield,https://www.thejakartapost.com/news/2020/04/23/covid-19-crisis-delays-several-infrastructure-projects.html,N/A,N/A,City,-6.896362,108.903967
Zambia,Sub-Saharan Africa,Low income,Batoka Gorge hydroelectric project,Batoka Gorge Hydroelectric Power Station,Energy,Electricity,Electricity generation,Yes,N/A,,,,May,2018,,delayed,Delay in pre-development activities,Greenfield,https://southerntimesafrica.com/site/news/batoka-project-to-start-in-2021,Resumed,https://southerntimesafrica.com/site/news/batoka-project-to-start-in-2021,Exact Location,-17.919467,26.130919
Zimbabwe,Sub-Saharan Africa,Low income,Centrale thermique de Lome,ContourGlobal Togo 100 MW power plant,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,March,2008,,delayed,Delay in Construction,Greenfield,https://www.agenceecofin.com/centrale/0603-74551-zimbabwe-le-coronavirus-ralentira-les-travaux-de-rehabilitation-de-la-centrale-de-hwange,N/A,N/A,City,-19.397058,29.994444
Nigeria,Sub-Saharan Africa,Low income,Lagos - Ibadan 150km railroad project,N/A,Transport,Railways,Regional Passenger,No,travel limit and shipping disruption,,,,March,2018,,delayed,Delay in Construction,Greenfield,https://www.railway-technology.com/news/completion-of-1-5bn-nigeria-project-delays-due-to-covid-19-outbreak/,Resumed,https://www.bbc.com/pidgin/tori-53866767,Exact Location,6.923809,3.636348
Bangladesh,South Asia,High income,Rahanpur to Monakasha Border 400kV Transmission Line,N/A,Energy,Electricity,Electricity transmission,Yes,Travel limit and shipping disruption,,,,May,N/A,,delayed,Delay in Construction,Greenfield,https://www.dhakatribune.com/bangladesh/power-energy/2020/05/12/ongoing-power-transmission-projects-hit-snag-for-corona-shutdown,N/A,N/A,City,25.754144,89.259666
Bangladesh,South Asia,High income,Southwest Transmission Grid Expansion Project,N/A,Energy,Electricity,Electricity generation and transmission,No,Travel limit and shipping disruption,,,,May,2018,,delayed,Delay in Construction,Greenfield,https://www.dhakatribune.com/bangladesh/power-energy/2020/05/12/ongoing-power-transmission-projects-hit-snag-for-corona-shutdown,N/A,N/A,City,23.004098,89.830551
Bangladesh,South Asia,High income,500 MW HVDC Back-to-Back Station at Comilla North,"500 MW HVDC Back-to-Back Station at Cumilla North (Bangladesh) for Transfer of Power through Surjamaninagar (Tripura, India) - Comilla North (Bangladesh)",Energy,Electricity,Electricity transmission,No,Travel limit and shipping disruption,,,,May,2017,,delayed,Delay in Construction,Greenfield,https://www.dhakatribune.com/bangladesh/power-energy/2020/05/12/ongoing-power-transmission-projects-hit-snag-for-corona-shutdown,N/A,N/A,City,23.473841,91.176272
Bangladesh,South Asia,High income,Bheramara (Bangladesh)-Baharampur (India) 2nd 400kV Transmission Line,N/A,Energy,Electricity,Electricity transmission,Yes,Travel limit and shipping disruption,,,,May,2017,,delayed,Delay in Construction,Greenfield,https://www.dhakatribune.com/bangladesh/power-energy/2020/05/12/ongoing-power-transmission-projects-hit-snag-for-corona-shutdown,N/A,N/A,City,24.062484,89.00554
Bangladesh,South Asia,High income,Bakerganj-Barguna 132kV Transmission Line & Barguna 132/33kV Substation,N/A,Energy,Electricity,Electricity transmission,Yes,Travel limit and shipping disruption,,,,May,2017,,delayed,Delay in Construction,Greenfield,https://www.dhakatribune.com/bangladesh/power-energy/2020/05/12/ongoing-power-transmission-projects-hit-snag-for-corona-shutdown,N/A,N/A,City,22.159943,90.116901
Indonesia,East Asia and Pacific,High income,Abadi Onshore LNG Complex,N/A,Energy,Natural Gas,Other,No,Gov't Budget Reallocation / Regulatory Changes,,,,April,N/A,,delayed,Cost Review and Project Delivery Delay,Greenfield,"https://www.mentorimcgroup.com/2020/05/12/abadi-schedule-faces-delays-due-to-covid-concerns/
https://ijglobal.com/articles/147035/abadi-lng-faces-cost-review",,N/A,Exact Location,-9.082283,131.319732
"Egypt, Arab Rep.",Middle East and North Africa,High income,Benban Solar Energy Complex,BenBan solar park,Energy,Electricity,Electricity generation,No,N/A,,,,April,2018,,delayed,Delay in Construction,Greenfield,https://www.worldcement.com/africa-middle-east/21042020/globaldata-egypts-construction-energy-market-outlook-remains-positive-despite-covid-19-delays/,N/A,N/A,Exact Location,"24.4405209657229,",32.7416453
India,South Asia,High income,Malhar Road project,N/A,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,April,N/A,,delayed,Delay in Construction,Greenfield,https://economictimes.indiatimes.com/small-biz/productline/building-materials/ludhiana-smart-city-projects-hit-roadblock-thanks-to-covid-19/articleshow/75118864.cms,N/A,N/A,City,30.91299296,75.85083435
Colombia,Latin America and the Caribbean,High income,La Linea Tunnel project,Centenario II Tunnel,Transport,Roads,Highway and tunnel,No,Non-availability of labourers due to Lockdown measure,,,,April,2019,,delayed,Delay in Construction,Greenfield,https://www.roadtraffic-technology.com/projects/la-linea-tunnel-project/,resumed,https://www.bnamericas.com/en/news/colombia-looks-to-resume-infra-works-despite-covid-19,City,4.851111646,-75.80021462
Colombia,Latin America and the Caribbean,High income,First metro line in Bogota,N/A,Transport,Railways,Local Passenger/Light rail,No,Tender Delayed,,,,April,2018,,delayed,Delay in receving proposal,Greenfield,https://ijglobal.com/articles/146779/metro-de-bogota-postponed-due-to-covid-19,N/A,N/A,City,4.694136155,-74.1146847842807
Indonesia,East Asia and Pacific,High income,Sokoria Geothermal Power Plant (PLTP),N/A,Energy,Electricity,Electricity generation,No,N/A,,,,April,2016,,delayed,Delay in Construction,Greenfield,https://www.thinkgeoenergy.com/covid-19-situation-delaying-renewable-energy-development-in-indonesia/,N/A,N/A,Exact Location,-8.793663653,121.7662345
India,South Asia,High income,Chardham all-weather road project,N/A,Transport,Roads,Highway,Yes,Non-availability of labourers due to Lockdown measure,,,6month,April,N/A,,delayed,Delay in Construction,Greenfield,https://economictimes.indiatimes.com/news/economy/infrastructure/covid-19-chardham-all-weather-road-project-to-be-delayed-due-to-lockdown/articleshow/75176701.cms,N/A,N/A,City,30.99569059,78.46110003
"Macedonia, FYR",Europe and Central Asia,Upper middle income,333MW Cebren hydropower project,N/A,Energy,Electricity,Electricity generation,No,Tender Delayed,,,,April,N/A,,delayed,Delay in Tender,Greenfield,https://ijglobal.com/articles/146907/north-macedonia-extends-hydro-deadline,N/A,N/A,City,41.67058374,21.70813535
Indonesia,East Asia and Pacific,High income,Tanjung Jati B,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2017,,delayed,Delay in Construction,Greenfield,https://www.cnnindonesia.com/ekonomi/20200326073609-85-486915/investasi-pltu-berpotensi-rugi-rp209-t-gara-gara-corona,N/A,N/A,Exact Location,-6.445358404,110.7391299
Indonesia,East Asia and Pacific,High income,Sumsel-1 PLTU,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2017,,delayed,Delay in Construction,Greenfield,https://www.cnnindonesia.com/ekonomi/20200326073609-85-486915/investasi-pltu-berpotensi-rugi-rp209-t-gara-gara-corona,N/A,N/A,Exact Location,-3.476963998,103.9957562
Myanmar,East Asia and Pacific,Low income,21MW Kyun Chaung gas power plant,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,April,2019,,delayed,Delay in Commercial operation,Greenfield,https://www.mmtimes.com/news/magwe-gas-plant-starts-running-vpower-says.html,Resumed,https://www.irrawaddy.com/news/burma/myanmar-power-plants-delayed-covid-19-start-operating-coming-months.html,City,21.03260126,94.4178879
Indonesia,East Asia and Pacific,High income,Bengkulu PLTU,N/A,Energy,Electricity,Electricity distribution,No,travel limit and shipping disruption,,,,April,2017,,delayed,Delay in Construction,Greenfield,https://www.cnnindonesia.com/ekonomi/20200326073609-85-486915/investasi-pltu-berpotensi-rugi-rp209-t-gara-gara-corona,N/A,N/A,Exact Location,-3.911959105,102.2707254
Mauritania,Sub-Saharan Africa,Low income,Greater Tortue/Ahmeyim FLNG Project,N/A,Energy,Natural Gas,Electricity generation and transmission,No,travel limit and shipping disruption,,,12month,April,2018,,delayed,Delayed,Greenfield,https://www.fitchsolutions.com/corporates/oil-gas/covid-19-impact-mauritanias-greater-tortueahmeyim-flng-project-delayed-one-year-20-04-2020,N/A,N/A,City,19.53715453,-16.26008281
Colombia,Latin America and the Caribbean,High income,Toyo Tunnel,N/A,Transport,Roads,Highway and tunnel,No,N/A,,,,April,2015,,delayed,N/A,Greenfield,https://www.medellinherald.com/antioquia/infrastructure,Resumed,N/A,City,6.729458676,-76.00058492
India,South Asia,High income,Kochi Metro’s Thykoodam-Pettah corridor,N/A,Transport,Railways,Local Passenger/Light rail,No,Non-availability of labourers due to Lockdown measure,,,,March,2012,,delayed,Delay in construction,Greenfield,https://www.thehindu.com/news/cities/Kochi/metro-work-resumes/article31417634.ece,Resumed,https://www.thehindu.com/news/cities/Kochi/metro-work-resumes/article31417634.ece,City,9.957686736,76.32173352
Myanmar,East Asia and Pacific,Low income,380MW Manipur hydro project,N/A,Energy,Electricity,Electricity generation,No,N/A,,,,August,2004,,delayed,Delayed,Greenfield,https://www.mmtimes.com/news/myanmar-suspends-manipur-hydro-project-chin-state.html,N/A,N/A,City,24.83458787,93.87844411
China,East Asia and Pacific,High income,Deyang Water Project,N/A,Water and sewerage,Treatment plant,Portable water and sewerage treatment,No,N/A,,,,February,N/A,,delayed,Delay in Request For Qualification (RFQ) Process,Greenfield,https://ijglobal.com/articles/145461/coronavirus-causes-delay-for-china-water-ppp,Resumed,N/A,City,31.13706997,104.4003199
