Country,Geographical,Income Group,Project name_WB,Project name_common,Sector,SubSector,Segment,Crossborder,Reason for delay,Investment Size,Project Banks,Delayed Extent,Updated Date,FC Year,FC Year reason,Status,Affected Stage,Type of PPP,URLs,Resumed,Resume URL,location,Latitude,Longitude
Vietnam,East Asia and Pacific,Low income,HCMC Saigon Metro line 1 (Ben Thanh – Suoi Tien),N/A,Transport,Railways,Local Passenger/Light rail,No,Travel limit and shipping disruption,,,,July,N/A,,delayed,Delay in Construction,Greenfield,https://e.vnexpress.net/news/business/economy/saigon-metro-faces-delay-as-experts-unable-to-enter-vietnam-4125365.html,Resumed,https://tuoitrenews.vn/news/society/20190212/new-hope-as-construction-of-ho-chi-minh-city-metro-resumes-after-tet/48896.html,City,10.77598811,106.6955318
Bulgaria,Europe and Central Asia,High income,Bulgaria’s Belene nuclear power plant,The Belene Nuclear Power Plant,Energy,Electricity,Electricity generation,No,Tender Delayed,,,,April,2008,https://www.power-technology.com/projects/belene-nuclear/,Delayed,Delay in Tender,Greenfield,https://www.intellinews.com/coronavirus-outbreak-to-delay-launch-of-bulgaria-s-belene-project-181811/,Resumed,https://www.reuters.com/article/bulgaria-nuclear-rosatom/update-1-rosatom-framatome-ge-team-up-for-bulgarian-nuclear-tender-idUSL8N2DV1KJ,City,42.521173,25.205306
Mexico,Latin America and the Caribbean,Low income,108MW Energía Sierra Juárez II wind farm,N/A,Energy,Electricity,Electricity generation,No,Tender Delayed,,,2month,April,N/A,,Delayed,Delay in Financial Close,Greenfield,https://ijglobal.com/articles/147056/closing-delayed-for-energ-a-sierra-ju-rez-ii-wind-farm,N/A,N/A,City,32.56439,-116.626032
Philippines,East Asia and Pacific,Low income,Dito Telecommunity broadband cell tower project,N/A,ICT,ICT backbone,Other,No,Non-availability of labourers due to Lockdown measure,,,,July,N/A,,Delayed,Delay in Commercial operation,Greenfield,https://www.philstar.com/business/2020/07/01/2024914/coronavirus-delays-dennis-uys-dito-launch,Resumed,https://business.inquirer.net/309069/aboitiz-deploys-small-cells-to-help-telcos-improve-signal-internet,City,12.380212,122.767331
Morocco,Middle East and North Africa,Low income,micro-liquefied natural gas (LNG) project TE-5 Hirst field,N/A,Energy,Natural Gas,Electricity generation,No,N/A,,,,April,N/A,,Delayed,N/A,Greenfield,https://www.offshore-energy.biz/sound-energy-may-delay-morocco-micro-lng-plans/,Resumed,https://www.offshore-energy.biz/sound-energy-garners-cash-to-pursue-moroccan-lng-project/,City,31.720471,-6.260171
China,East Asia and Pacific,High income,Jiangyin LNG terminal,Jiangyin LNG terminal,Energy,Natural Gas,Natural gas transmission,No,Financial strain,,,,July,N/A,,Delayed,Delay in Commercial operation,Greenfield,https://www.spglobal.com/platts/en/market-insights/latest-news/natural-gas/070720-analysis-chinas-new-lng-regas-projects-delayed-amid-covid-19-impact-financial-strain,N/A,N/A,Exact Location,31.932055,120.108718
India,South Asia,High income,Mumbai Pune Expressway Project,Mumbai Pune Expressway Missing Link Project,Transport,Roads,Highway,No,Financial strain(debt),,,,April,2020,https://www.deccanherald.com/business/irb-infra-achieves-rs-6610-cr-financial-closure-for-mumbai-pune-expressway-project-851117.html,Delayed,N/A,Expansion,https://ijglobal.com/articles/147116/indian-highways-developer-to-raise-debt,Resumed,"https://www.deccanherald.com/business/irb-infra-achieves-rs-6610-cr-financial-closure-for-mumbai-pune-expressway-project-851117.html
https://www.freepressjournal.in/mumbai/mumbai-pune-expressway-missing-link-project-deadline-extended",Exact Location,18.769654,73.404347
Chile,Latin America and the Caribbean,High income,50MW Estrella wind farm,N/A,Energy,Electricity,Electricity generation,No,N/A,,,,April,2019,https://www.opdenergy.com/en/2019/10/17/opdenergy-enters-wind-energy-business-with-the-construction-of-its-first-wind-farm-in-chile/,Delayed,Delay in Financial Close,Greenfield,https://ijglobal.com/articles/147125/closing-delayed-for-opdenergys-chilean-duo,Resumed,https://renews.biz/62451/spanish-developer-flush-for-154mw-chilean-green-duo/,City,37.6751,73.543
Sri Lanka,South Asia,Low income,Uma Oya hydroelectric power plant,Uma Oya Multipurpose Development Project,Energy,Electricity,Electricity generation,No,COVID19,,,,April,2008,https://www.newsfirst.lk/2019/04/19/uma-oya-project-in-its-final-phase-80-funded-by-sri-lanka/,Delayed,Delayed in Construction,Greenfield,"http://www.china.org.cn/world/Off_the_Wire/2020-04/29/content_75991315.htm
https://www.newsfirst.lk/2018/06/17/uma-oya-project-runs-into-further-delays/",Resumed,http://www.xinhuanet.com/english/2020-04/29/c_139018219.htm,City,7.055495,80.959869
Chile,Latin America and the Caribbean,High income,1.3GW Andes Renovables,N/A,Energy,Electricity,Electricity generation,No,N/A,,,,April,2020,https://www.rechargenews.com/transition/mainstream-secures-more-finance-for-1-8bn-wind-and-solar-giant-in-chile/2-1-894029,Delayed,Delay in Financial Close,Greenfield,https://ijglobal.com/articles/147153/bankers-expect-delay-in-huemul-financing,Resumed,https://renewablesnow.com/news/mainstream-starts-building-power-lines-for-630-mw-of-chilean-projects-698424/,City,37.6751,73.543
China,East Asia and Pacific,High income,Chaozhou LNG terminal,N/A,Energy,Natural Gas,Natural gas transmission,No,Financial strain,,,,July,N/A,,Delayed,Delay in Construction,Greenfield,"https://www.spglobal.com/platts/en/market-insights/latest-news/natural-gas/070720-analysis-chinas-new-lng-regas-projects-delayed-amid-covid-19-impact-financial-strain
https://www.argusmedia.com/en/news/2147507-capacity-expansion-delays-to-cap-chinas-lng-imports",N/A,N/A,Exact Location,23.576582,117.122439
India,South Asia,High income,Navi Mumbai International Airport,Mumbai International Airport,Transport,Airports,Regional Passenger,No,COVID19,,,,April,2020,https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/sbi-takes-over-as-lead-financier-of-navi-mumbai-airport-project/articleshow/73720912.cms?from=mdr,Delayed,Delayed in Construction,Greenfield,"https://www.businessinsider.in/business/news/navi-mumbai-airport-construction-to-be-little-delayed-amid-coronavirus-pandemic/articleshow/75477515.cms
https://indiainfrahub.com/2020/aviation/a-story-of-airport-to-nowhere-is-navi-mumbai-airport-finally-ready-to-take-off/",Resumed,"https://www.freepressjournal.in/mumbai/navi-mumbai-international-airportwhen-it-will-see-the-flight-of-the-day-is-unclear
https://timesofindia.indiatimes.com/city/navi-mumbai/govt-tells-cidco-to-speed-up-navi-mumbai-airport-work/articleshow/79092995.cms",Exact Location,18.992968,73.057513
Mexico,Latin America and the Caribbean,Low income,860MW Salamanca Combined Cycle Gas-Fired Plant,N/A,Energy,Electricity,Electricity generation,No,Gov't Budget Reallocation / Regulatory Changes,,,,July,N/A,,Cancelled,Cancelled in Tender Process ,Greenfield,https://www.txfnews.com/Tracker/Details/ffb54b8a-f414-463c-ac4b-2b383c2c2ffd/Salamanca-gas-fired-plant-tender-pushed-back,N/A,N/A,City,21.011406,-101.256938
Mexico,Latin America and the Caribbean,Low income,42MW Baja California Sur VI Combined Cycle Gas-Fired Plant,N/A,Energy,Electricity,Electricity generation,No,Gov't Budget Reallocation / Regulatory Changes,,,,July,N/A,,Cancelled,Cancelled in Tender Process ,Greenfield,https://realestatemarket.com.mx/noticias/infraestructura-y-construccion/29268-cfe-cancela-construccion-de-plantas-electricas-en-diferentes-estados,N/A,N/A,City,25.102891,-111.707676
Mexico,Latin America and the Caribbean,Low income,804.8MW San Luis Potosí Combined Cycle Gas-Fired Plant,N/A,Energy,Electricity,Electricity generation,No,Gov't Budget Reallocation / Regulatory Changes,,,,July,N/A,,Cancelled,Cancelled in Tender Process ,Greenfield,https://realestatemarket.com.mx/noticias/infraestructura-y-construccion/29268-cfe-cancela-construccion-de-plantas-electricas-en-diferentes-estados,N/A,N/A,City,22.157548,-100.983523
Nepal,South Asia,Low income,Melamchi Water Supply Project,N/A,Water and sewerage,Treatment plant,Sewerage treatment plant,No,travel limit and shipping disruption,,,,April,2000,https://www.spotlightnepal.com/2020/07/12/melamchi-dream-come-true/,Delayed,Delay in Construction,Greenfield,https://kathmandupost.com/valley/2020/04/06/melamchi-likely-to-face-more-delays-as-workers-leave-the-site,Resumed,N/A,Exact Location,27.825809,85.579433
Tunisia,Middle East and North Africa,Low income,Nawara gas field development project,South Tunisia Gas Project (STGP),Energy,Natural Gas,Other,No,Covid-19,,,,April,2015,https://projectsportal.afdb.org/dataportal/VProject/show/P-TN-FD0-006,Delayed ,Delay in Construction,Greenfield,https://www.meed.com/covid-19-delays-work-on-tunisian-gas-project,N/A,N/A,City,32.611846,10.6834
Bangladesh,South Asia,High income,Dhaka Metrorail project,N/A,Transport,Railways,Local Passenger/Light rail,No,travel and shipment disruption due to Covid-19,,,,June,2013,https://tbsnews.net/bangladesh/infrastructure/launch-metro-rail-likely-be-delayed-101605,delayed,delay in construction ,greenfield ,https://bdnews24.com/economy/2020/06/14/coronavirus-crisis-derails-bangladesh-metrorail-project,Resumed,https://www.dhakatribune.com/bangladesh/dhaka/2020/09/04/metro-rail-s-construction-progressing-fast-with-49-15-completion,City,23.8034091,90.4069736
Colombia,Latin America and the Caribbean,High income,Cambao-Manizales Highway (256KM),Vía cambao-Manizales,Transport,Roads,Highway,No,dispute between concessionare and ANI(National Infrastructure Agency) ,,,,April,2015,https://www.infrapppworld.com/news/colombia-awards-fifth-private-initiative-in-road-sector,Delayed,Delay in Financial Close,brownfield ,https://www.elolfato.com/via-cambao-manizales-otra-promesa-sin-cumplir-para-los-tolimenses,Resumed,https://www.carreteras-pa.com/noticias/colombia-reactiva-obras-de-la-via-4g-cambao-manizales/,City,5.0222667,-74.0287992
India,South Asia,High income,ACME Jaipur 250MW Solar Power Plant,N/A,Energy,Electricity,Electricity generation,No,land aquisition delays plus further delays casued by Covid-19,,,,April,2018,https://www.business-standard.com/article/companies/acme-to-cancel-india-s-cheapest-solar-project-citing-covid-19-impact-120052000977_1.html,Delayed,ACME allegedly terminates the contract under Force Majuere,greenfield ,https://www.reuters.com/article/india-solar/citing-covid-uncertainty-indias-acme-solar-cancels-deal-to-supply-power-at-record-low-tariff-idUSL4N2D22TL,N/A,N/A,City,24.5367039,81.3032997
China,East Asia and Pacific,High income,Jiaxing LNG,N/A,Energy,Natural Gas,Natural gas transmission,No,Financial strain,,,,July,2019,https://www.seatrade-maritime.com/ports-logistics/jiaxing-lng-terminal-starts-construction,Delayed,Delay in Commercial operation,greenfield ,https://www.spglobal.com/platts/en/market-insights/latest-news/natural-gas/070720-analysis-chinas-new-lng-regas-projects-delayed-amid-covid-19-impact-financial-strain,N/A,N/A,City,30.6784208,121.2277033
India,South Asia,High income,Kajauli waterworks phases V and VI,N/A,Water and sewerage,Treatment plant,Portable water and sewerage treatment,No,Non-availability of labourers due to Lockdown measure,,,,June,N/A ,,Delayed,delay in construction ,greenfield ,https://timesofindia.indiatimes.com/city/chandigarh/covid-19-impact-labour-crunch-delays-mohali-water-project/articleshow/76345299.cms,N/A,N/A,City,30.7478259,76.6381644
Colombia,Latin America and the Caribbean,High income,2.4 GW Hidro Ituango project,N/A,Energy,Electricity,Electricity generation,No,Non-availability of labourers due to Lockdown measure,,,,June,N/A ,,Delayed,Delay in Construction ,greenfield ,https://www.bnamericas.com/en/news/covid-19-delays-colombias-hidroituango-mega-dam-project,N/A,N/A,City,7.171543,-75.76468
China,East Asia and Pacific,High income,Damaiyu LNG,N/A,Energy,Natural Gas,Natural gas transmission,No,Financial strain,,,,July,2018,https://www.gem.wiki/Damaiyu_LNG_Terminal,Delayed,Delay in Commercial operation,greenfield ,https://www.spglobal.com/platts/en/market-insights/latest-news/natural-gas/070720-analysis-chinas-new-lng-regas-projects-delayed-amid-covid-19-impact-financial-strain,N/A,N/A,Exact Location,28.106107,121.134782
Argentina,Latin America and the Caribbean,High income,"RenovAr renewable tenders: 1, 1.5, 2 and 3",N/A,Energy,Electricity,Electricity generation,No,Tender Delayed,,,,June,N/A,,Delayed,Tender delayed,greenfield ,https://www.bnamericas.com/en/news/argentina-extends-progress-deadlines-for-renewable-energy-projects,N/A,N/A,country ,-35.911352,-68.944708
Montenegro,Europe and Central Asia,Low income,Velje brdo PV plant,N/A,Energy,Electricity,Electricity generation,No,Tender Delayed,,,,June,N/A,,Delayed,Tender delayed,greenfield ,https://balkangreenenergynews.com/velje-brdo-pv-plant-tender-to-start-by-year-end-could-expand-to-300-mw/,N/A,N/A,City,42.484608,19.218423
China,East Asia and Pacific,High income,Jiangsu Binhai LNG,N/A,Energy,Natural Gas,Natural gas transmission,No,Financial strain,,,,July,N/A,,Delayed,Delay in Commercial operation,greenfield ,https://www.spglobal.com/platts/en/market-insights/latest-news/natural-gas/070720-analysis-chinas-new-lng-regas-projects-delayed-amid-covid-19-impact-financial-strain,N/A,N/A,Exact Location,34.287539,120.271312
Bangladesh,South Asia,High income,"1,600-MW Jharkhand project",N/A,Energy,Electricity,Electricity generation,No,Non-availability of labourers due to Lockdown measure,,,,June,2019,,Delayed,Delay in Commisioning,Greenfield,https://www.business-standard.com/article/companies/1-600-mw-jharkhand-project-delayed-amid-covid-19-lockdown-adani-power-120060101759_1.html,N/A,N/A,Exact Location,24.81592827,87.13511295
Nigeria,Sub-Saharan Africa,Low income,"Akanu Ibiam International Airport, Enugu",Enugu Airport,Transport,Airports,Runway and terminal,No,N/A,,,,June,N/A,,Delayed,Delay in Construction,expansion,https://www.sunnewsonline.com/work-resumes-at-enugu-airport/,Resumed,https://www.sunnewsonline.com/work-resumes-at-enugu-airport/,Exact Location,6.471811161,7.567658659
Nepal,South Asia,Low income,NEA Tanahun HPP,140 MW Tanahu Hydropower Project,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,March,2012,,Delayed,Delay in Construction,greenfield,https://www.hydroreview.com/2020/03/09/coronavirus-may-significantly-delay-hydro-project-construction/#gref,N/A,N/A,Exact Location,27.95941578,84.27461028
Nepal,South Asia,Low income,37-MW Upper Trishuli 3B Project,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,March,in progress,https://www.trishulijalvidhyut.com.np/about-us/,Delayed,Delay in Construction,greenfield,https://www.hydroreview.com/2020/03/09/coronavirus-may-significantly-delay-hydro-project-construction/#gref,Resumed,http://www.nepalenergyforum.com/upper-trisuli-3-b-work-in-progress/,Exact Location,27.99612226,85.18351309
Nepal,South Asia,Low income,Gautam Buddha International Airport (GBIA),N/A,Transport,Airports,Runway and terminal,No,travel limit and shipping disruption,,,,May,N/A,,Delayed,Delay in Construction,N/A,https://www.nepalisansar.com/government/nepal-resumes-gbia-airport-construction-amid-covid-19/,Resumed,https://www.tourismmail.com/construction-of-gautam-buddha-international-airport-resumes,Exact Location,27.50692103,83.41974331
Bangladesh,South Asia,High income,Dhaka Mass Rapid Transit Line 6,N/A,Transport,Railways,Local Passenger/Light rail,No,travel limit and shipping disruption,,,,May,2013,,Delayed,Delay in Construction,greenfield,https://thefinancialexpress.com.bd/trade/first-metro-rail-arrival-from-japan-uncertain-1587093264,Resumed,https://www.railwaygazette.com/metros/dhaka-metro-construction-continues/56540.article,Exact Location,23.84184976,90.36352346
Russian Federation,Europe and Central Asia,Low income,Unit 2 of the Leningrad II nuclear power plant in western Russian,Leningrad II unit 2,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,May,N/A,,Delayed,Delay in Commisioning,N/A,https://www.world-nuclear-news.org/Articles/Leningrad-II-2-start-up-postponed-to-April-202https://www.world-nuclear-news.org/Articles/Leningrad-II-2-start-up-postponed-to-April-2021,N/A,N/A,Exact Location,59.82786743,29.05348556
"Congo, Dem. Rep.",Sub-Saharan Africa,High income,Kisangani Solar Photovoltaic Power plant,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,May,N/A,,Delayed,Delay in Construction,greenfield,https://globalpressjournal.com/africa/democratic-republic-of-congo/coronavirus-claims-another-victim-solar-power-plant-drc/,N/A,N/A,City,0.5186785515,25.20130622
Nepal,South Asia,Low income,Upper Tamakoshi Project,Upper Tamakoshi Hydroelectric Project,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,May,2018,https://kclastute.com/assets/uploads/files/articles/Upper_Tamakoshi_ERP_(1).pdf,Delayed,Close to completion,greenfield,"https://myrepublica.nagariknetwork.com/news/upper-tamakoshi-project-likely-to-be-delayed/#:~:text=KATHMANDU%2C%20May%2025%3A%20The%20completion,19%20lockdown%20in%20the%20country.&text=The%20project%20was%20expected%20to,has%20impacted%20the%20project%20deadline.",N/A,N/A,Exact Location,27.92469184,86.213236
China,East Asia and Pacific,High income,Rudong LNG phase 3,N/A,Energy,Electricity,Natural gas transmission,No,Financial strain,,,,July,N/A,,Delayed,Phase 3,N/A,https://www.spglobal.com/platts/en/market-insights/latest-news/natural-gas/070720-analysis-chinas-new-lng-regas-projects-delayed-amid-covid-19-impact-financial-strain,N/A,N/A,City,32.35767928,121.1710965
Bangladesh,South Asia,High income,Runway capacity enhancement project at Shah Amanat International Airport,Shah Amanat International Airport Runway,Transport,Airports,Runway and terminal,No,travel limit and shipping disruption,,,,June,N/A,,Delayed,starting operation,brownfield,https://tbsnews.net/economy/aviation/covid-19-chattogram-airports-runway-strengthening-work-stalled-98896,N/A,N/A,Exact Location,22.2457677,91.81446412
China,East Asia and Pacific,High income,Qingdao LNG phase 2,N/A,Energy,Electricity,Natural gas transmission,No,Financial strain,,,,July,N/A,,Delayed,Phase 2,N/A,https://www.spglobal.com/platts/en/market-insights/latest-news/natural-gas/070720-analysis-chinas-new-lng-regas-projects-delayed-amid-covid-19-impact-financial-strain,N/A,N/A,City,36.09400927,120.3859615
Seychelles,Sub-Saharan Africa,Low income,Seychelles Floating Solar Plant,N/A,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,June,N/A,,Delayed,Bidding phase,greenfield,http://www.seychellesnewsagency.com/articles/13098/Planned+floating+solar+plant+in+Seychelles+delayed+because+of+COVID+complications,N/A,N/A,City,-4.680896398,55.45847737
Cambodia,East Asia and Pacific,High income,400MW Heavy fuel oil power plant in Kandal province’s,400 MW Kandal HFO/LNG Power Plants Project,Energy,Electricity,Electricity generation,No,travel limit and shipping disruption,,,,June,2017,,Delayed,Delayed in Construction,N/A,https://thailand-construction.com/cambodias-power-plant-in-kandal-province-delayed-by-covid-19-travel-bans/,N/A,N/A,Exact Location,11.53896164,105.088694
India,South Asia,High income,Kempegowda International Airport (KIA) : second terminal,N/A,Transport,Airports,Runway and terminal,No,Lower Demand Projection,,,,June,2019,https://www.livemint.com/news/india/bengaluru-airport-to-come-up-with-terminal-2-gets-rs-10-000-crore-1565090581735.html,Delayed,Phase 1,expansion,https://www.deccanherald.com/city/bengaluru-infrastructure/kia-second-terminal-to-be-delayed-by-6-to-12-months-844968.html,N/A,N/A,Exact Location,13.19865568,77.70646405
Mozambique,Sub-Saharan Africa,Low income,Rovuma LNG project,N/A,Energy,Natural Gas,Natural gas transmission,No,Lower Demand Projection,$23 billion,,,June,Not yet,,Delayed,Delay in investment decision,Greenfield,https://www.africaoilandpower.com/2020/06/08/fid_on_mozambiques-rovuma-lng-project-delayed-until-2021/,N/A,N/A,Exact Location,-10.850449,41.291493
Angola,Sub-Saharan Africa,High income,Multipurpose terminal of the port of Luanda,Port of Luanda Multipurpose Terminal,Transport,Ports,Terminal,No,Lower Demand Projection,,,,June,Not yet,,Delayed,Delay in concession,Greenfield,https://www.porttechnology.org/news/tender-for-angolas-largest-port-pushed-back-due-to-covid-19-pandemic/,N/A,N/A,Exact Location,-8.797677,13.244965
Montenegro,Europe and Central Asia,Low income,250 MW Briska Gora solar plant,Briska Gora solar power plant,Energy,Electricity,Electricity generation,No,N/A,,,,June,2018,,Delayed,Delay in development,Greenfield,https://www.lexology.com/library/detail.aspx?g=2393b055-d3e0-4d68-b9ed-6e0ac41fbc98,N/A,N/A,City,41.967664,19.294259
Namibia,Sub-Saharan Africa,Low income,Upgrade of the dual carriageway on the Windhoek-Okahandja road,Upgrade of WIndhoek-Okahandja road,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,June,N/A,,Delayed,Delay in construction,Greenfield,https://www.namibiansun.com/news/massive-capital-projects-delayed2020-06-05,N/A,N/A,City,-22.504441,17.078017
Namibia,Sub-Saharan Africa,Low income,Upgrade to a dual carriageway of the Windhoek to Hosea Kutako International Airport road,Windhoek-Hosea Kutako Airport Road Upgrade,Transport,Roads,Highway,No,Non-availability of labourers due to Lockdown measure,,,,N/A,N/A,,Delayed,Delay in construction,Greenfield,https://www.namibiansun.com/news/massive-capital-projects-delayed2020-06-05,N/A,N/A,City,-22.504441,17.078017
Myanmar,East Asia and Pacific,Low income,Falam’s airport in Chin State,Falam (Surbung) New Airport Project,Transport,Airports,Runway and terminal,No,travel limit and shipping disruption,,,,June,2015,,Delayed,Delay in operation,Greenfield,https://consult-myanmar.com/2020/06/05/opening-of-the-first-airport-in-myanmars-chin-state-delayed-amid-covid-19/,Resumed,https://www.mmtimes.com/news/construction-chin-state-airports-make-progress-despite-covid-19.html,Exact Location,22.934223,93.615055
India,South Asia,High income,Waste-to Energy Plant at Kapuluppada,waste-to-energy(WTE) power project taken up by the JIFT Urban Infrastructure Limited at Kapuluppada under the limits of the Greater Visakhapatnam Municipal Corporation (GVMC),Transport,Treatment / Disposal,Incineration / Waste to Energy,No,Non-availability of labourers due to Lockdown measure,,,,,2016,,Delayed,Delay in construction,Greenfield,https://www.thehindu.com/news/cities/Visakhapatnam/waste-to-energy-plant-to-be-ready-by-year-end/article31760959.ece,Resumed,https://www.thehindu.com/news/cities/Visakhapatnam/waste-to-energy-plant-to-be-ready-by-year-end/article31760959.ece,City,17.835171,83.384617
Mexico,Latin America and the Caribbean,Low income,Terminal 3 of Mexico City International Airport (AICM),Mexico City new International Airport,Transport,Airports,Runway and terminal,No,Lower Demand Projection,,,,June,2019,,Cancelled,Cancellation of construction,Greenfield,https://simpleflying.com/mexico-city-terminal-canceled/,N/A,N/A,Exact Location,19.436026,-99.071839
Bolivia,Latin America and the Caribbean,High income,280 MW Ivirizu hydropower plant,N/A,Energy,Electricity,Electricity generation,No,Non-availability of labourers due to Lockdown measure,,,,March,2017,https://www.chinadaily.com.cn/business/2017-08/19/content_30826511.htm,Delayed,Delay in construction,Greenfield,https://www.bnamericas.com/en/news/bolivia-pushes-back-geothermal-call,N/A,N/A,City,-16.826155,-65.006708
Bolivia,Latin America and the Caribbean,High income,100MW Laguna Colorada geothermal project(Second Stage),Laguna Colorada geothermal project,Energy,Electricity,Electricity generation,No,Non-availability of labourers due to Lockdown measure,,,,March,2017,https://geothermalresourcescouncil.blogspot.com/2017/03/Bolivia-geothermal.html,Delayed,Delay in tender,N/A (loan from JICA),https://www.bnamericas.com/en/news/bolivia-pushes-back-geothermal-call,N/A,N/A,Exact Location,-22.43399,-67.756263
